Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
dos árbol frente casa poner peligro vivienda vecino ademo haber caer rama vereda obstaculizar paso Tambien tapar luminaria;Los dos árboles frente a mi casa, ponen en peligro mi vivienda y la de los vecinos, ademas de haber caido una rama en la vereda que obstaculiza el paso. Tambien tapan las luminarias;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00017422/23
nuevamente caer rama pesado dentro casa claro dos arbol requerir poda mayor altura oportunidad cayo mujer cabeza;Nuevamente cayo una rama pesada dentro de mi casa, es claro que los dos arboles requieren una poda mayor de altura, en esta oportunidad por poco no le cayo a mi mujer sobre la cabeza;problema intervención arbolado;Problemas con intervenciones de arbolado;00131753/23
vecino indicar rama árbol ingresar balcón domicilio además tapar luminaria cuadra;el vecino indica  que la rama del árbol ingresa  a el balcón de su domicilio   , además de eso tapan la luminaria de la cuadra;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00080694/23
vehículo estacionado senda peatonal bajado discapacitado;Vehículo estacionado sobre senda peatonal y bajada para discapacitados;vehículo mal estacionado;Vehículo mal estacionado;00138481/23
vehículo estacionado obstruir rampa discapacitado senda peatonal;Vehículo estacionado obstruyendo rampa discapacitados y sobre senda peatonal;vehículo mal estacionado;Vehículo mal estacionado;00136234/23
estacionado bajado garage;Estacionado sobre bajada de garage;vehículo mal estacionado;Vehículo mal estacionado;00193147/23
vehículo estacionado bloquear salida garage;Vehículo estacionado bloquea salida de garage;vehículo mal estacionado;Vehículo mal estacionado;00309980/23
solicitar retiro 4 tablón chapa 4M aprox;se solicita el retiro de 4 tablones, chapas de 4M aprox.;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00142255/23
vecino solicitar pasar desratizar cuadra dicho direccion Nazca debido cantidad rata;Vecino solicita que pasen a desratizar la cuadra de dicha direccion (Nazca) debido a la cantidad de ratas que hay.;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00348709/23
;;vehículo mal estacionado;Vehículo mal estacionado;00083915/23
ochava amarillo;Ochava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00091558/23
Ovhava amarillo;Ovhava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00091567/23
;;vehículo mal estacionado;Vehículo mal estacionado;00139594/23
Cordón amarillo barrio infracción día partido;Cordón amarillo. Todo el barrio está en infracción los días de partido;vehículo mal estacionado;Vehículo mal estacionado;00152886/23
estacionar ocupar todo vereda permitir caminar pasar cochecito;Estaciona ocupando toda la vereda, no permite caminar ni pasar con cochecito;vehículo mal estacionado;Vehículo mal estacionado;00124579/23
Ochava amarillo poseer patente delantero;Ochava amarilla y no posee patente delantera;vehículo mal estacionado;Vehículo mal estacionado;00156306/23
ochava amarillo;Ochava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00164867/23
aparte estacionar ochava amarillo poseer placa identificador delantero;Aparte de estacionar en ochava amarilla no posee placa identificadora delantera;vehículo mal estacionado;Vehículo mal estacionado;00164875/23
ochava amarillo;Ochava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00178685/23
estacionar frecuentemente vereda;Estaciona frecuentemente en la vereda;vehículo mal estacionado;Vehículo mal estacionado;00247586/23
ochava amarillo;Ochava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00247592/23
ochava amarillo;Ochava amarilla;vehículo mal estacionado;Vehículo mal estacionado;00274670/23
Ochava;Ochava;vehículo mal estacionado;Vehículo mal estacionado;00278694/23
ochava amarillo rampa;Ochava amarilla y rampa;vehículo mal estacionado;Vehículo mal estacionado;00294658/23
Ochava;Ochava;vehículo mal estacionado;Vehículo mal estacionado;00278688/23
si;Si;vehículo mal estacionado;Vehículo mal estacionado;00274688/23
vereda;Sobre la vereda;vehículo mal estacionado;Vehículo mal estacionado;00275186/23
;;vehículo mal estacionado;Vehículo mal estacionado;00329442/23
senda peatonal ochavo rampa;Senda peatonal, ochava y rampa;vehículo mal estacionado;Vehículo mal estacionado;00329450/23
vereda;Sobre la vereda;vehículo mal estacionado;Vehículo mal estacionado;00333913/23
senda peatonal ochavo rampa;Senda peatonal, ochava y rampa;vehículo mal estacionado;Vehículo mal estacionado;00333903/23
;;vehículo mal estacionado;Vehículo mal estacionado;00333910/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00340187/23
estacionamiento recibir bicicleta aunque cartel correspondiente;Estacionamiento que  no recibe bicicleta aunque tenga el cartel correspondiente;incumplimiento derecho consumidor;Incumplimientos a los derechos del consumidor;00064589/23
estacionamiento recibir bicicleta aunque cartel puerta;Estacionamiento que no me recibió la bicicleta aunque tenga cartel en la puerta;incumplimiento derecho consumidor;Incumplimientos a los derechos del consumidor;00064599/23
Vehículos obstruir entrada garaje;Vehículos obstruye entrada de garaje;vehículo mal estacionado;Vehículo mal estacionado;00334451/23
vehículo mal estacionado mano;Vehículo mal estacionado en contra mano;vehículo mal estacionado;Vehículo mal estacionado;00277325/23
electrodoméstico;Electrodoméstico;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00065390/23
pasar;Paso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00069737/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00153145/23
vehículo estacionado obstruir salida garage;Vehículo estacionado obstruye salida de garage;vehículo mal estacionado;Vehículo mal estacionado;00256222/23
Bidet roto;Bidet roto;retiro escombro resto obra;Retiro de escombros / restos de obra;00050658/23
observar luminaria hacer parpadeo observar pequeño chispazo provocar falta luz domicilio problema ocurrido tambien hacer 1 año mas menos solucionado momento;se observa luminaria hacer parpadeos y se observan pequeños chispazos, provocando también la falta de luz en el domicilio, problema ocurrido tambien hace 1 año mas menos el cual fue solucionado en su momento;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00039098/23
vehículo obstruir ingreso cochera;Vehículo obstruyendo ingreso a cochera;vehículo mal estacionado;Vehículo mal estacionado;00348303/23
vehículo estacionado espacio reservado discapacitado patente IPI435;Vehículo estacionado en espacio reservado (discapacitadas) para patente IPI435;vehículo mal estacionado;Vehículo mal estacionado;00178821/23
edificio lindero domicilio CONDARCO 3511 generar ruido constante silvido si tablero generar constante ruido propiedad refrmado termino obra surgir sonido continuo afectar convivencia .- solicitar comunicar poder corroborar dicho inconveniente cel 1141888672 Sr Candido . -CONDARCO 3511 CASA-;el edificio lindero a mi domicilio en CONDARCO 3511 genera un ruido constante como un silvido , como si fuera un tablero que genera un constante ruido, esa propiedad fue refrmada y desde que termino la obra surgieron estos sonidos continuos que afectan a la convivencia .- solicito se comuniquen con nosotros para poder corroborar dichos inconvenientes. mi cel 1141888672, Sr Candido .-CONDARCO 3511 CASA-;ruido molesto vibración;Ruidos molestos y vibraciones;00184745/23
obstrucción total acceso garage existir demarcación cartel prohibido estacionar .el vehículo cartel discapacitado habilitar ocupar espacio;Obstrucción total de acceso a garage,existe demarcación y cartel de prohibido estacionar.el vehículo tiene cartel de discapacitado que NO lo habilita para ocupar ese espacio;vehículo mal estacionado;Vehículo mal estacionado;00007152/23
obstrucción total acceso garage lugar poseer demarcación cartel prohibido estacionar;Obstrucción total acceso a garage,el lugar posee demarcación y cartel de prohibido estacionar;vehículo mal estacionado;Vehículo mal estacionado;00007156/23
obstrucción total acceso garage;Obstrucción total acceso a garage;vehículo mal estacionado;Vehículo mal estacionado;00015012/23
obstrucción total acceso garage poder retirar coche vehículo poseer cartel discapacitado q habilitar Tapar garage .es situación q cometer esperar aplicar sanción ejemplar;Obstrucción total acceso garage,no pude retirar mí coche. Este vehículo posee cartel de discapacitado,q no lo habilita a Tapar mí garage.es una situación q ya cometió,espero le apliquen sanción ejemplar;vehículo mal estacionado;Vehículo mal estacionado;00015030/23
obstruir entrada garage;Obstruir entrada de garage;vehículo mal estacionado;Vehículo mal estacionado;00076965/23
obstrucción total acceso garage vehiculo aparte infracción llevar puesto placa delantero;Obstrucción total acceso garage,el vehiculo aparte de la infracción no lleva puesta la placa delantera;vehículo mal estacionado;Vehículo mal estacionado;00043217/23
obstrucción total acceso garage;Obstrucción total acceso garage;vehículo mal estacionado;Vehículo mal estacionado;00123301/23
obstrucción total acceso garage;Obstrucción total acceso garage;vehículo mal estacionado;Vehículo mal estacionado;00076973/23
obstrucción total acceso garage;Obstrucción total acceso garage;vehículo mal estacionado;Vehículo mal estacionado;00195229/23
obstrucción total acceso garage;Obstrucción total acceso garage;vehículo mal estacionado;Vehículo mal estacionado;00289223/23
hacer curso seguridad vial renovación licencia conducir sistema quedar trabado querer enviar primero tanda respursto;Estoy haciendo curso seguridad vial,para renovación de licencia de conducir,y el sistema se queda trabado cuando quiero enviar primera tanda de respurstas;inconveniente plataforma Gestión Colaborativa;Inconvenientes con la plataforma de Gestión Colaborativa;00316440/23
faltar notificación continuar trámite renovación licencia conducir trámite 00958376 23 17 4 23 necesitar urgente viaje exterior;Falta de notificación para continuar con el trámite de renovación de licencia de conducir trámite 00958376/23 de 17/4/23, necesito urgente por viaje al exterior;inconveniente sistema turno;Inconvenientes con el sistema de turnos;00334077/23
solicitar retiro 2 fardo rama resultante poda domiciliario;Solicito retiro de 2 fardos de ramas, resultantes de poda domiciliaria.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00133796/23
bolsa escombro segundo solicitud hacer pasar buscar el favor activar;bolsas de escombros, segunda solicitud que hago y no pasan a buscarlas, por favor activen;retiro escombro resto obra;Retiro de escombros / restos de obra;00049705/23
permitir paso peatón dia mismo lugar;No permite el paso de peatones. TODOS los dias esta en el mismo lugar.;vehículo mal estacionado;Vehículo mal estacionado;00281269/23
Lavarropas veredo residuo voluminoso;Lavarropas en la vereda como residuo voluminoso;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00114743/23
camión pasar 21.50 vaciar contenedor dejar volcado vereda reclamo hacer acelerar ir;El camión que pasó a las 21.50 no vació el contenedor, y lo dejó volcado sobre la vereda. Ante el reclamos que le hice, aceleró y se fué.;queja Contenedores basura;Queja por Contenedores de basura;00110936/23
resto obra pequeño baño;Restos de obra pequeña en un baño;retiro escombro resto obra;Retiro de escombros / restos de obra;00112874/23
Camión gran porte abandonado besar 4457;Camión de gran porte abandonado en besares 4457;remoción vehículo abandonado;Remoción de vehículo abandonado;00145364/23
pasar;Paso;retiro escombro resto obra;Retiro de escombros / restos de obra;00038130/23
entrada Estivao 147;Sobre entrada Estivao 147;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00133943/23
bolsa escombro el .puerto edificio hacer día;Hay bolsas de escombro en la.puerta del edificio desde hace unos días;retiro escombro resto obra;Retiro de escombros / restos de obra;00313287/23
;;vehículo mal estacionado;Vehículo mal estacionado;00112676/23
andar luz calle;No anda la luz de la calle;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00334812/23
necesitar sumidero pluvial intersección Morelos Mendes andes llover acumular agua esquina generar vecino esquina mencionado ingresar agua vivienda único sumidero Donato Alvarez Mendes andes dar abasto;Necesitamos un sumidero de pluvial en la intersección de Morelos y Mendes de andes ya que al llover se acumula agua en la esquina generando que los vecinos de la esquina mencionada le ingrese el agua a las viviendas ya que el único sumidero que hay está en Donato Alvarez y Mendes de andes no dando abasto;Construcción sumidero alcantarilla boca registro pluvial;Construcción de sumidero/alcantarilla o boca de registro pluvial;00334867/23
vecino solicitar reubicacion contenedor direccion nogoya 4030 comentar vecino mover 2 contenedor dejar entarado edificio obstruir entrada salido garage Gracias;Vecino solicita la reubicacion del contenedor en  la  direccion nogoya 4030 nos comenta que los vecinos movieron 2 contenedores y dejaron a la entarada del edificio obstruyendo la entrada y salida del garage. Gracias;queja Contenedores basura;Queja por Contenedores de basura;00195332/23
funcionar semáforo;No funciona semáforo;reparación semáforo;Reparación de semáforo;00177779/23
vehículo estacionado cordón amarillo obstruir salida cochera casa;Vehículo estacionado en cordón amarillo obstruyendo la salida de la cochera de mi casa;vehículo mal estacionado;Vehículo mal estacionado;00095433/23
restaurant sazon todo noche musica fuerte favor controlar;El restaurant sazon, toda la noche con la musica fuerte, por favor controlen un poco.;ruido molesto vibración;Ruidos molestos y vibraciones;00011963/23
favor limpiar esquina triunvirato piran mismo rata vivo muerto;Por favor, limpiar la esquina de triunvirato y piran. En la misma hay ratas, vivas y muertas;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00010425/23
Restaurant sazon;Restaurant sazon;Mayor presencia policial;Mayor presencia policial;00023154/23
;;queja Contenedores basura;Queja por Contenedores de basura;00039746/23
dueño restaurant pagar empleado hecho asi situación sabado corrida botellazo;El dueño del restaurant no les paga a los empleados que hecha teniendo asi situaciones como la de este sabado con corridas y botellazos.;Mayor presencia policial;Mayor presencia policial;00026348/23
;;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00045262/23
vehículo obstruir garage señalizado;Vehículo obstruyendo garage señalizado;vehículo mal estacionado;Vehículo mal estacionado;00187648/23
vehículo obstruir garage señalizado;Vehículo obstruyendo garage señalizado;vehículo mal estacionado;Vehículo mal estacionado;00187640/23
vehículo obstruir grage señalizado hacer 1 hora;Vehículo obstruyendo grage señalizado hace más de 1 hora;vehículo mal estacionado;Vehículo mal estacionado;00364724/23
retiro escombro puerta edificio usar refacción;Retiro de escombros de la puerta de edificio que se usaron en refacciones.;retiro escombro resto obra;Retiro de escombros / restos de obra;00022018/23
escombro proveniente obra;Son escombros provenientes de una obra;retiro escombro resto obra;Retiro de escombros / restos de obra;00012293/23
solicitar favor retiro escombro informar bolsa lado contenedor;Solicita por favor el retiro de escombros. Informa que las bolsas están al lado del contenedor.;retiro escombro resto obra;Retiro de escombros / restos de obra;00111780/23
mueble puerta viejo;Muebles y puertas viejas;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00212274/23
retiro resto obra;Retiro de restos de obra;retiro escombro resto obra;Retiro de escombros / restos de obra;00212305/23
abandonar auto patente asiento notorio deterioro techo rebatible abierto basura dentro;Abandonaron un auto sin patentes, sin asientos y en notorio estado de deterioro, el techo rebatible está abierto y hay basura dentro;remoción vehículo abandonado;Remoción de vehículo abandonado;00040760/23
bache;HAY UN BACHE;reparación bache calle;Reparación de bache en calle;00043780/23
retirar televis;Retirar un televis;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00133584/23
poda arbol interno Ramas vereda apilado;Poda de arbol interno. Ramas en la vereda apilada;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00067243/23
;;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00238352/23
oscuro;esta muy muy oscuro;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00238373/23
iluminacion suficiente;no hay iluminacion suficiente;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00316156/23
iluminacion;no hay iluminacion;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00316141/23
estacionamiento lugar prohibido mano izquierdo a ev Segurola;Estacionamiento lugar prohibido (mano izquierda Av Segurola);vehículo mal estacionado;Vehículo mal estacionado;00257367/23
retiro 15 bolsa escombro;Retiro de 15 bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00339145/23
solicitar arreglo cambio contenedor ubicado Avenida García Rio Cramer casi llegar esquina avenida García Rio poder visualizar varios irregularidad mismo tapa pedal cuerpo contenedor;Se solicita arreglo o cambio de contenedor ubicado en Avenida García del Rio Y Cramer ( casi llegando a las esquina sobre avenida García del Rio). Se pueden visualizar varias irregularidades en el mismo tanto la tapa, el pedal y el cuerpo del contenedor.;queja Contenedores basura;Queja por Contenedores de basura;00023548/23
Buenos dias Paraguay 900 C. Pellegrini vereda Bco Nacion encontrar contenedor mayorio tiempo lleno derramado hez humano orina limpiar unico cuadra poruqe estar hacer calle Florida hacer mes .. lugar contenedor ademas circular calle flujo vehiculo dio .. inclusive camión estacionar poder descargar comercio poder pasar x ahi vereda dos baldosas olor basura llevar traer viento .. ademo riesgo conllevar cerca banco varios contenedor Paraguay 800 C. Pellegrini tambien inclusive verde asi hacer falta dejar alli favor retirenlo;Buenos dias en Paraguay al 900 y C. Pellegrini ( vereda del Bco Nacion) se encuentra un contenedor que la mayoria del tiempo esta lleno y todo derramado, con heces humanas y orina, no lo limpian y es el unico de la cuadra poruqe estan haciendo la calle desde Florida hace como un mes .. no es lugar para un contenedor ademas porque circula sobre una calle que hay mucho flujo de vehiculos todo el dia .. inclusive camiones y estacionan cuando no pueden para descargar por los comercios. Ya no se puede pasar x ahi con una vereda de dos baldosas por los olores y la basura que lleva y trae el viento .. ademas del riesgo que conlleva que este cerca del banco. Hay varios contenedores sobre Paraguay al 800 y sobre C. Pellegrini tambien inclusive verdes asi que no hace falta dejar uno alli por favor retirenlo.;queja Contenedores basura;Queja por Contenedores de basura;00191191/23
hacer reforma propiedad escombro via publicar frente instalación Gendarmeria Nacional entrada estacionamiento clausurar .. mas menos Paraguay 970 enfrente;Hice una reforma en mi propiedad y tengo escombros en la via publica frente a las instalaciones de Gendarmeria Nacional en una entrada al estacionamiento que esta clausurada .. mas o menos Paraguay 970 enfrente;retiro escombro resto obra;Retiro de escombros / restos de obra;00238409/23
estío retirar resto podo jardín;E estío retiren los restos de poda de mi jardín.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00258295/23
poder mandar grua retirar gente edificio auto grande poder salir;Podrán mandar una grua para que lo retiren? porque hay gente en el edificio con autos grandes que no pueden salir;vehículo mal estacionado;Vehículo mal estacionado;00323995/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00085904/23
;;remoción vehículo abandonado;Remoción de vehículo abandonado;00340568/23
x seguridad;X seguridad.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00170672/23
acampe comenzar ahora 10 persona violento insultar gritar raya auto creer dueño calle;Hay un acampe , comenzó con uno y ahora hay 10 personas , son violentos insulta gritan y rayas los autos ! Se creen los dueños de la calle;Mayor presencia policial;Mayor presencia policial;00053647/23
limpiar vereda correctamente;no limpian la vereda correctamente;mejora barrer;Mejora de barrido;00366327/23
solicitar mayor iluminación veredo noche cuadra arrancar 1100 1200 noche luminario tenue suficiente mayor tranquilidad seguridad solicitar resolver forma inmediato;Se solicita mayor iluminación en vereda en la noche desde la cuadra arrancando al 1100 hasta el 1200 , en la noche hay luminarias pero tenues , no son suficientes , para mayor tranquilidad y seguridad se solicita se resuelva de forma inmediata.;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00091583/23
vehículo mal estacionado enfrente jardín cordón amarillo disco prohibido estacionar;Vehículo mal estacionado enfrente de un jardín con cordón amarillo entre discos de prohibido estacionar;vehículo mal estacionado;Vehículo mal estacionado;00108726/23
;;vehículo mal estacionado;Vehículo mal estacionado;00088921/23
auto mal estacionado impedir salida garaje;Auto mal estacionado impidiendo salida de garaje;vehículo mal estacionado;Vehículo mal estacionado;00096535/23
auto estacionado esquina 30 minuto balizo apagado conductor visible llamado Esquina cordón amarillo rampo senda peatonal;Auto estacionado en esquina por más de 30 minutos, sin baliza, apagado,  sin conductor visible al llamado. Esquina, cordón amarillo, rampa, senda peatonal;vehículo mal estacionado;Vehículo mal estacionado;00049814/23
camioneta estacionado salido garaje;Camioneta estacionada en salida de garaje;vehículo mal estacionado;Vehículo mal estacionado;00106288/23
vehículo estacionado ciclovia hacer 30min;Hay un vehículo estacionado en la ciclovia hace más de 30min;vehículo mal estacionado;Vehículo mal estacionado;00315169/23
auto mal estacionado puerta jardín cordón amarillo interrumpir subir baja;Auto mal estacionado en la puerta del jardín, con cordón amarillo, interrumpiendo el sube y baja;vehículo mal estacionado;Vehículo mal estacionado;00356875/23
obstrucción garage pegar contenedor;Obstrucción de garage y pegado a un contenedor;vehículo mal estacionado;Vehículo mal estacionado;00045859/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00082863/23
obstrucción garage estacionar pegar contenedor;Obstrucción de garage y estaciona pegado al contenedor;vehículo mal estacionado;Vehículo mal estacionado;00055828/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00083731/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00064920/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00082803/23
distancia contenedor;Sin distancia al contenedor;vehículo mal estacionado;Vehículo mal estacionado;00139904/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00127231/23
obstrucción garage pegar contenedor;Obstrucción de garage y pegado a contenedor;vehículo mal estacionado;Vehículo mal estacionado;00119215/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00134773/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00124031/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00203271/23
obstrucción garage;Obstrucción de garage;vehículo mal estacionado;Vehículo mal estacionado;00303295/23
solicitar limpieza vereda hospital hacer tiempo limpiar lleno hoja;se solicita la limpieza de las veredas del hospital ya que hace mucho tiempo no lo limpian y esta lleno de hojas.;mejora barrer;Mejora de barrido;00167010/23
vehículo mal estacionado espacio reservado estacionamiento discapacitado señal otorgado gobierno ciudad Buenos Aires;Vehículo mal estacionado en espacio reservado para estacionamiento de discapacitados con señal otorgada por el gobierno de la ciudad de Buenos Aires.;vehículo mal estacionado;Vehículo mal estacionado;00346682/23
vehículo mal estacionado espacio reservado estacionamiento discapacitado señal otorgado gobierno ciudad Buenos Aires 2015;Vehículo mal estacionado en espacio reservado para estacionamiento de discapacitados con señal otorgada por el gobierno de la ciudad de Buenos Aires desde 2015.;vehículo mal estacionado;Vehículo mal estacionado;00346689/23
lavado contenedor manera urgente camion idrante ensucio contenedor encontrar 135 187 tambien vereda;lavado de contenedor de manera urgente porque un camion idrante ensucio los contenedores que se encuentran en el 135 y 187 y tambien la vereda;queja Contenedores basura;Queja por Contenedores de basura;00214138/23
reubicacion contenedor encuentr pi margal 113;reubicacion del contenedor que se encuentr sobre pi y margal 113;queja Contenedores basura;Queja por Contenedores de basura;00214148/23
Lugar discapacitado;Lugar de discapacitado;vehículo mal estacionado;Vehículo mal estacionado;00113538/23
Lugar discapacitado KQP 801;Lugar de discapacitados  KQP 801;vehículo mal estacionado;Vehículo mal estacionado;00092716/23
Lugar discapacitado;Lugar de discapacitados;vehículo mal estacionado;Vehículo mal estacionado;00113012/23
Lugar discapacitado;Lugar de discapacitado;vehículo mal estacionado;Vehículo mal estacionado;00146051/23
Lugar discapacitafo Lxy160;Lugar de discapacitafo Lxy160;vehículo mal estacionado;Vehículo mal estacionado;00325894/23
;;vehículo mal estacionado;Vehículo mal estacionado;00180491/23
estacionado parada colectivo;Estacionado en la parada de colectivo;vehículo mal estacionado;Vehículo mal estacionado;00226385/23
campana verde cerca Hinojo Carrasco;no tengo campana verde cerca de Hinojo y Carrasco;Instalación Campana Verde;Instalación de Campana Verde;00174293/23
raiz arbol encontrar domicilio citado anteriormente estar obtaculizar rompio pluvial ir debajo vereda hacia calle llover inundar casa necesitar corte raices arreglo pluvial;Las raices del arbol que se encuentra en el domicilio citado  anteriormente , estan obtaculizando o rompio el pluvial que va por debajo de la vereda hacia la calle. Cuando llueve se me inunda mi casa. Necesito corte de raices y arreglo del pluvial;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00239125/23
campana verde volcado acera obstruir circulación Autos malo Higiene junto tacho Gris situación Abandono bandalismo;campana verde volcada sobre la acera , obstruye circulación de Autos . mala Higiene  junto con el tacho Gris . situación de Abandono o bandalismo.;reparación Campana Verde;Reparación de Campana Verde;00036070/23
retirar Restos Poda Árbol;Retirar Restos de Poda de Árbol;irregularidad disposición residuo establecimiento;Irregularidades en la disposición de residuos de establecimientos;00069837/23
cesto ubicado 1 metro distancia cordon colectivo bajar velocidad esquibar él;cesto a ubicado a más de 1 metro de distancia del cordon. el colectivo tiene que bajar la velocidad y esquibarlo;queja Contenedores basura;Queja por Contenedores de basura;00060631/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00064909/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00060725/23
vehículo bloquear parcialmente ingreso cochera;Vehículo bloquea parcialmente ingreso a cochera;vehículo mal estacionado;Vehículo mal estacionado;00078134/23
vehiculo bloquear parcialmente ingreso cochera;Vehiculo bloquea parcialmente ingreso a cochera;vehículo mal estacionado;Vehículo mal estacionado;00062785/23
vehiculo bloquear parcialmente ingreso cochera hacer 5 día;Vehiculo bloquea parcialmente ingreso a cochera hace 5 días.;vehículo mal estacionado;Vehículo mal estacionado;00114491/23
12 4 2023 03:00 Camion hidro lavadora poner limpiar producir ruido impresionante máquina si motor camión acelerado irrumpir tranquilidad barrio horario nocturno;El 12/4/2023 a las 03:00 un Camion con hidro lavadora se puso a limpiar algo produciendo un ruido impresionante, tanto de la máquina en si como del motor del camión acelerado, irrumpiendo la tranquilidad del barrio en horario nocturno.;ruido molesto vibración;Ruidos molestos y vibraciones;00298053/23
vecina contar cartel tapa visión peligroso;La vecina nos cuenta que hay un cartel que les tapa la visión y es peligroso.;pantalla publicitario vía público;Pantalla publicitaria en vía pública;00172631/23
vecina pedir limpieza vereda;La vecina pide la limpieza en las veredas;mejora barrer;Mejora de barrido;00172583/23
vehículo estacionado delante garage casa;Hay un vehículo estacionado delante del garage de mi casa;vehículo mal estacionado;Vehículo mal estacionado;00091716/23
vehículo mal estacionado frente cochera;Hay un vehículo mal estacionado en frente de mi cochera;vehículo mal estacionado;Vehículo mal estacionado;00355130/23
retiro 7 bolsa escombro;Retiro de 7 bolsas de escombros;retiro escombro resto obra;Retiro de escombros / restos de obra;00015666/23
auto abandonado hacer 7 año;Auto abandonado hace más de 7 años;remoción vehículo abandonado;Remoción de vehículo abandonado;00015711/23
esquina juan b justo árbol tapa luminario si entrar bicicleta vereda cosa q deber hacer llevar delante bicicleta moto árbol planto vecino corto frondoso solicitar despejar altura hombre mucho gracias;en la esquina con juan b justo hay un árbol que tapa la luminaria y si entran las bicicletas por la vereda cosa q no deben hacer te llevan por delante, tanto bicicletas como motos, el árbol lo planto un vecino pero es corto y frondoso se solicita despejar a la altura hombre, muchas gracias;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00055392/23
deje TERMOTANQUE 120 litro persona Recoleccion llevo necesitar molestando vereda peaar 55 kilo;DEJE UN TERMOTANQUE DE 120 LITROS COMO LA PERSONA DE RECOLECCION NO SE LO LLEVO QUE LO NECESITABA ESTA MOLESTANDO EN LA VEREDA PESA 55 KILOS;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00060358/23
